Parameter,Description,EVR,DCF,PLA,PAD,HAB
ClaH4,# of larvae co-feeding with an adult (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CnaH4,# of nymphs co-feeding with an adult (Host 3),0.01 ; 0.4,0.01 ; 0.4,0.01 ; 0.4,0.01 ; 0.4,0.01 ; 0.4
CaaH4,# of adults co-feeding with an adult (Host 3),0.01 ; 0.87,0.01 ; 0.87,0.01 ; 0.87,0.01 ; 0.87,0.01 ; 0.87
NlhH1,# of larvae on competent host (Host 1),0.01 ; 1.19,0.01 ; 1.19,0.01 ; 1.19,0.01 ; 1.19,0.01 ; 1.19
NnhH1,# of nymphs on competent host(Host 1),0.01 ; 2.63,0.01 ; 2.63,0.01 ; 2.63,0.01 ; 2.63,0.01 ; 2.63
NahH1,# of adults on competent host(Host 1),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
NlhH2,# of larvae on competent host (Host 2),0.01 ; 10.58,0.01 ; 10.58,0.01 ; 10.58,0.01 ; 10.58,0.01 ; 10.58
NnhH2,# of nymphs on competent host(Host 2),0.01 ; 2.60,0.01 ; 2.60,0.01 ; 2.60,0.01 ; 2.60,0.01 ; 2.60
NahH2,# of adults on competent host(Host 2),0.01 ; 0.34,0.01 ; 0.34,0.01 ; 0.34,0.01 ; 0.34,0.01 ; 0.34
NlhH3,# of larvae on competent host(Host 3),0.01 ; 5.52,0.01 ; 5.52,0.01 ; 5.52,0.01 ; 5.52,0.01 ; 5.52
NnhH3,# of nymphs on competent host(Host 3),0.01 ; 1.58,0.01 ; 1.58,0.01 ; 1.58,0.01 ; 1.58,0.01 ; 1.58
NahH3,# of adults on competent host(Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
Dl,Days of attachment of larva,2 ; 5,2 ; 5,2 ; 5,2 ; 5,2 ; 5
Dn,Days of attachment of nymph,7 ; 8,7 ; 8,7 ; 8,7 ; 8,7 ; 8
Da,Days of attachment of adult,10 ; 21,10 ; 21,10 ; 21,10 ; 21,10 ; 21
IH1,Systemic infection duration in host (Host 1),2 ; 7,2 ; 7,2 ; 7,2 ; 7,2 ; 7
IH2,Systemic infection duration in host (Host 2),2 ; 7,2 ; 7,2 ; 7,2 ; 7,2 ; 7
IH3,Systemic infection duration in host (Host 3),7 ; 12,7 ; 12,7 ; 12,7 ; 12,7 ; 12
TT,Efficiency from tick to tick ,0.01 ; 1 ,0.01 ; 1 ,0.01 ; 1 ,0.01 ; 1 ,0.01 ; 1 
Pl,Efficiency from competent host to larva,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9
Pn,Efficiency from competent host to nymph,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9
Pa,Efficiency from competent host to adult,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9,0.6 ; 0.9
QlH1,Efficiency from larva to competent host (Host 1),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QnH1,Efficiency from nymph to competent host (Host 1),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QaH1,Efficiency from adult to competent host (Host 1),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QlH2,Efficiency from larva to competent host (Host 2),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QnH2,Efficiency from nymph to competent host (Host 2),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QaH2,Efficiency from adult to competent host (Host 2),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QlH3,Efficiency from larva to competent host (Host 3),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QnH3,Efficiency from nymph to competent host (Host 3),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
QaH3,Efficiency from adult to competent host (Host 3),0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75,0.3 ; 0.75
Ra,Efficiency from adult to egg,0.01 ; 0.1,0.01 ; 0.1,0.01 ; 0.1,0.01 ; 0.1,0.01 ; 0.1
Hc,Fraction of blood meals on hosts competent for systemic and non-systemic transmission ,0.5 ; 0.9,0.5 ; 0.9,0.5 ; 0.9,0.5 ; 0.9,0.5 ; 0.9
Np,1- proportion decrease in ticks,1 ; 1,1 ; 1,0.56 ; 0.56,0.56 ; 0.56,0.69 ; 0.69
Cs,Fraction of ticks feeding close enough for non-systemic transmission,0.1 ; 0.5,0.1 ; 0.5,0.1 ; 0.5,0.1 ; 0.5,0.1 ; 0.5
